@relation TestingSimpsonsRelation

@attribute age numeric
@attribute genre {M,F}
@attribute height {Short,Big}
@attribute weight numeric
@attribute topClothesColor {Red,Orange,White,Blue,Yellow,None,Green,Pink,Grey}
@attribute bottomClothesColor {Red,Orange,White,Blue,Yellow,None,Green,Pink,Grey}
@attribute shoesColor {Red,Orange,White,Blue,Yellow,None,Green,Pink,Grey}
@attribute hairColor {Red,Orange,White,Blue,Yellow,None,Green,Pink,Grey}
@attribute whichSimpson {Bart,Lisa,Homer}

@data
5,F,Big,65.865809,Green,Red,Blue,White,Lisa
26,F,Big,53.386341,Green,Yellow,Orange,Blue,Bart
9,F,Short,48.634978,None,None,Orange,Green,Lisa
23,M,Short,78.102529,Orange,Orange,White,White,Bart
9,F,Short,56.332618,White,Red,Yellow,Green,Lisa
23,M,Big,64.601572,Orange,Red,None,None,Bart
16,F,Short,79.123513,Blue,Blue,Red,Blue,Bart
28,F,Big,113.77426,Green,Green,None,None,Homer
14,F,Big,76.085389,Green,Green,Yellow,Red,Bart
29,M,Short,127.76905,White,Red,Green,Orange,Homer
17,F,Short,37.334065,None,White,Red,Green,Lisa
13,F,Short,31.614631,Green,Green,None,White,Lisa
12,F,Big,64.308359,White,Yellow,Red,Green,Bart
16,F,Big,62.015054,Yellow,Orange,Blue,Orange,Bart
16,M,Big,64.278457,None,Blue,Orange,Green,Lisa
15,M,Big,47.469479,Green,Blue,Red,Red,Bart
10,F,Big,65.044288,Blue,Blue,None,Red,Bart
17,F,Big,72.340481,White,None,Yellow,Yellow,Bart
29,M,Short,123.771021,Yellow,Green,Blue,Blue,Homer
17,F,Short,46.307219,Green,None,Orange,Red,Bart
10,M,Short,73.393117,Red,Green,White,Blue,Bart
21,M,Short,51.075035,Orange,Red,None,Red,Bart
29,F,Big,116.037452,Yellow,Yellow,Yellow,None,Homer
15,F,Big,48.614129,Green,Yellow,Red,Green,Lisa
11,F,Short,57.483721,Yellow,Red,None,Yellow,Bart
37,M,Big,105.917207,None,Red,None,Green,Homer
19,M,Big,57.484127,White,Red,White,Red,Bart
15,F,Short,63.590179,Blue,None,None,White,Bart
35,M,Big,131.879072,None,Yellow,Orange,Red,Homer
33,M,Short,123.416161,None,Orange,Blue,Red,Homer
11,M,Short,66.753924,Orange,Blue,Yellow,Green,Lisa
10,M,Big,35.914548,Green,Red,Yellow,Yellow,Lisa
8,F,Big,40.292536,None,Green,White,Green,Lisa
31,F,Short,132.515986,Blue,Yellow,Yellow,Orange,Homer
44,M,Short,129.574909,None,Green,Blue,Yellow,Homer
26,F,Short,46.159745,White,Orange,Yellow,Orange,Bart
10,F,Short,71.523657,Yellow,White,Orange,Blue,Bart
14,M,Short,48.324486,Yellow,Yellow,White,Blue,Lisa
14,M,Big,55.961522,Yellow,Green,Red,Yellow,Bart
24,F,Short,47.903082,None,Red,None,Orange,Bart
8,M,Big,54.354319,Green,Green,Yellow,Orange,Lisa
11,F,Short,30.683125,Blue,Green,White,None,Lisa
4,F,Short,43.580031,White,Orange,None,White,Lisa
6,M,Big,34.584274,White,Green,Orange,White,Lisa
26,M,Big,57.721731,Red,Green,Red,Red,Bart
41,M,Big,114.845562,Orange,Orange,Red,None,Homer
22,F,Short,72.892201,None,White,None,Yellow,Bart
16,F,Short,49.020029,Green,Red,Green,Blue,Bart
17,M,Short,76.411487,Orange,Green,Orange,Orange,Bart
13,F,Short,64.279102,White,Orange,Orange,Green,Bart
12,M,Short,66.232087,Green,Yellow,Orange,Green,Lisa
17,M,Big,62.879408,Blue,White,Orange,Red,Lisa
12,F,Big,66.370898,Green,Red,Red,Orange,Lisa
11,M,Big,48.512175,White,Orange,Green,White,Bart
35,F,Short,105.01151,Green,Blue,White,White,Homer
42,M,Big,141.6115,Red,White,White,Blue,Homer
35,M,Big,111.067634,None,Yellow,Yellow,Green,Homer
32,F,Short,145.995154,White,None,Green,Blue,Homer
22,F,Big,79.52188,Orange,Red,None,Yellow,Bart
37,M,Short,103.797019,Orange,White,Green,White,Homer
42,F,Big,122.756434,Orange,Green,White,Yellow,Homer
39,F,Short,96.735576,Blue,White,Orange,Orange,Homer
11,F,Short,73.666078,Orange,Yellow,Green,White,Bart
26,M,Big,70.719166,Red,None,Blue,Red,Bart
32,M,Big,121.999053,Yellow,Blue,None,Orange,Homer
17,M,Short,49.474376,None,Blue,None,White,Lisa
6,M,Short,63.595504,White,Blue,Yellow,Orange,Lisa
23,M,Big,68.383279,Blue,Yellow,White,None,Bart
29,M,Short,114.735177,Red,Orange,None,Red,Homer
5,F,Big,35.078407,Blue,White,None,Blue,Lisa
23,M,Big,79.215454,White,Orange,Blue,Orange,Bart
6,F,Big,29.227655,Red,Red,White,Yellow,Lisa
13,M,Short,41.403181,White,Green,Red,None,Bart
11,M,Big,40.936418,Yellow,White,Blue,Blue,Lisa
38,F,Short,134.814222,Orange,Yellow,White,White,Homer
13,F,Short,56.737041,Orange,None,Green,White,Bart
34,F,Big,107.31122,White,Green,White,Red,Homer
36,M,Short,114.016389,None,Green,Blue,Green,Homer
22,F,Big,45.007746,Green,Yellow,Blue,Green,Bart
16,M,Big,64.408135,Green,White,Red,White,Lisa
17,F,Big,48.828421,White,Orange,Blue,Yellow,Lisa
22,M,Short,59.979697,Green,Blue,Yellow,Yellow,Bart
44,M,Big,100.317875,Red,Yellow,White,White,Homer
23,F,Short,72.313606,Blue,Orange,Orange,Orange,Bart
18,F,Big,60.700239,Yellow,Orange,Blue,Red,Bart
18,M,Big,54.2104,Red,Blue,Green,Yellow,Bart
17,F,Short,44.786715,Red,Yellow,Yellow,Blue,Lisa
41,F,Short,123.289947,Blue,Red,None,Red,Homer
16,M,Big,44.428948,Yellow,Orange,Orange,Red,Bart
41,F,Short,112.836414,Orange,None,White,Green,Homer
26,F,Big,67.028337,Red,Red,Blue,None,Bart
13,F,Short,72.899252,White,None,None,Blue,Bart
18,F,Short,70.540882,Red,Red,Red,Blue,Bart
18,F,Big,40.825757,None,Green,Yellow,Orange,Bart
14,F,Short,42.622423,Yellow,White,White,Green,Lisa
36,M,Short,92.779013,Red,Orange,Orange,Red,Homer
24,M,Short,44.398014,Blue,Orange,Blue,Red,Bart
5,F,Short,61.644927,Orange,Red,Orange,Red,Lisa
15,M,Big,75.764286,Red,White,Red,Red,Bart
26,F,Short,46.512897,Green,Blue,Blue,White,Bart
18,M,Big,40.186896,White,White,Green,Yellow,Lisa
17,M,Short,79.306423,White,None,Red,Blue,Bart
32,F,Big,125.862291,Red,None,Red,Green,Homer
22,F,Short,67.69291,Yellow,Yellow,Blue,Blue,Bart
9,M,Big,61.298793,Blue,Green,Red,Green,Lisa
7,M,Big,32.504047,Blue,Blue,Yellow,None,Lisa
40,F,Short,119.152965,White,None,Yellow,Blue,Homer
25,F,Big,68.040537,None,Orange,White,Blue,Bart
34,M,Big,93.183585,Red,White,Green,Orange,Homer
17,M,Short,49.497197,White,Green,Orange,White,Lisa
41,M,Short,91.820428,Blue,Yellow,Orange,White,Homer
22,M,Short,49.904009,Orange,Yellow,Orange,Yellow,Bart
12,M,Big,44.653652,Red,Green,Blue,Orange,Lisa
18,F,Short,36.758958,Yellow,Yellow,None,Red,Lisa
4,F,Big,54.895642,Green,Yellow,Yellow,Yellow,Lisa
13,M,Short,51.944267,Blue,Blue,Orange,Green,Bart
16,M,Short,74.141483,Yellow,Yellow,White,Orange,Bart
15,F,Short,62.046499,Yellow,Green,Yellow,Blue,Lisa
40,F,Big,127.906445,None,White,Red,Orange,Homer
38,M,Big,148.685957,Orange,Green,Green,Red,Homer
9,M,Big,63.051304,None,Orange,Red,None,Lisa
43,M,Big,97.445227,None,Orange,White,Yellow,Homer
17,M,Short,53.48124,Blue,Red,Orange,Yellow,Lisa
33,F,Big,105.751591,Yellow,None,None,Green,Homer
7,M,Big,62.251111,Green,None,Blue,White,Lisa
4,F,Short,58.174946,None,Blue,Yellow,Red,Lisa
19,F,Big,74.353455,Red,Blue,Yellow,None,Bart
23,M,Short,71.359803,Orange,Red,White,Red,Bart
44,F,Big,95.28611,Green,White,None,White,Homer
15,M,Big,53.048019,Orange,Green,None,Red,Lisa
12,F,Big,71.794984,Red,Blue,Blue,Yellow,Bart
40,F,Short,113.434714,Yellow,Blue,Orange,Blue,Homer
